Ticker,DY,Nome,Categoria
AAGR11,-,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO,Fiagro: 
AAZQ11,"16,45",,Fiagro: Fiagro
ABCP11,"8,62",Grand Plaza Shopping,Tijolo: Shoppings
AFCR11,-,,Outros: Indefinido
AFHI11,"12,89",AF INVEST CRI,Papel: Papéis
AFOF11,-,,Outros: Indefinido
AGRX11,"17,55",,Fiagro: Fiagro
AIEC11,"16,54",AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.,Tijolo: Lajes Corporativas
AJFI11,"0,73",,Sem categoria: 
ALMI11,-,Torre Almirante,Tijolo: Lajes Corporativas
ALZC11,-,FII ALI CRED,Papel: Papéis
ALZM11,"11,93",ALIANZA FOF,Papel: Fundo de Fundos
ALZR11,"8,34",Alianza Trust Renda Imobiliária,Fundo Misto: Misto
AMAZ11,-,BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO,Fiagro: 
ANCR11B,"1,96",Ancar CI,Tijolo: Shoppings
APTO11,"12,30",NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo: Imóveis Residenciais
APXM11,"2,55",,Sem categoria: 
APXR11,-,,Fundos Imobiliários: 
APXU11,-,,Fundos Imobiliários: 
AQLL11,-,,Outros: Indefinido
ARCT11,"16,59",RIZA ARCTIUM REAL ESTATE FDO INV IMOB,Tijolo: Imóveis Industriais e Logísticos
ARFI11B,-,,Outros: Indefinido
AROA11,"3,64",AROEIRA 333 RENDA LOGÍSTICA FDO DE INV IMOB,Tijolo: Imóveis Industriais e Logísticos
ARRI11,"13,55",FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,Papel: Papéis
ARXD11,"10,52",ARX DOVER RECEBÍVEIS FDO DE INV IMOB,Papel: Papéis
ASMT11,"1,25",CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo: Lajes Corporativas
ASRF11,"2,54",ASA RETROFITS I FDO DE INV IMOB,Fundo Misto: Indefinido
ATCR11,-,HAZ,Tijolo: Lajes Corporativas
ATSA11,"0,18",Hedge Atrium Shopping Santo André,Tijolo: Shoppings
ATSA11B,-,,Outros: Indefinido
ATWN11,-,FDO. INV. IMOB. A–TOWN,Fundo Misto: Indefinido
AURB11,"5,64",FII ALI URB,Tijolo: Imóveis Comerciais - Outros
BARI11,"11,14",FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII,Papel: Papéis
BBFI11B,"14,59",BB Progressivo,Tijolo: Lajes Corporativas
BBFO11,"10,98",BB FUNDO DE FUNDOS,Papel: Fundo de Fundos
BBGO11,"13,53",,Fiagro: Fiagro
BBIM11,-,BB Recebíveis Imobiliários,Papel: Papéis
BBPO11,"10,29",BB Progressivo II,Tijolo: Agências de Bancos
BBRC11,"11,37",BB Renda Corporativa,Tijolo: Agências de Bancos
BBVJ11,-,,Outros: Indefinido
BCFF11,"9,22",BTG Fundo de Fundos,Papel: Fundo de Fundos
BCIA11,"9,31",Bradesco Carteira Imobiliária Ativa,Papel: Fundo de Fundos
BCRI11,"12,53",Banestes Recebíveis Imobiliários,Papel: Papéis
