ticker,dy
AAGR11,-
AAZQ11,"16,87"
ABCP11,"8,79"
AFCR11,-
AFHI11,"12,75"
AFOF11,-
AGRX11,"18,60"
AIEC11,"16,55"
AJFI11,-
ALMI11,-
ALZC11,-
ALZM11,"117,61"
ALZR11,"8,19"
AMAZ11,-
ANCR11B,"1,96"
APTO11,"12,39"
APXM11,"1,97"
AQLL11,-
ARCT11,"16,59"
ARFI11B,-
AROA11,"3,15"
ARRI11,"13,73"
ARXD11,"10,36"
ASMT11,"2,80"
ASRF11,"2,54"
ATCR11,-
ATSA11,"0,18"
ATSA11B,-
ATWN11,-
AURB11,"6,16"
BARI11,"11,01"
BBFI11B,"13,55"
BBFO11,"11,05"
BBGO11,"13,40"
BBIM11,-
BBPO11,"10,89"
BBRC11,"11,37"
BBVJ11,-
BCFF11,"9,23"
BCIA11,"9,22"
BCRI11,"12,40"
BETW11,-
BICE11,"12,66"
BICR11,"11,63"
BIME11,"13,47"
BIPD11,-
BIPE11,-
BLCA11,"14,84"
BLCP11,"0,62"
BLMC11,"11,22"
BLMG11,"18,84"
BLMO11,"1.020,45"
BLMR11,"8,97"
BLUR11,"11,89"
BMII11,-
BMLC11,"11,12"
BMLC11B,-
BNFS11,"14,22"
BPFF11,"9,91"
BPLC11,-
BPML11,"0,57"
BPRP11,"9,97"
BRCO11,"8,21"
BRCR11,"8,68"
BREV11,"4,99"
BRHT11B,-
BRIM11,"23,88"
BRIP11,"17,89"
BRIX11,-
BRLA11,"9,33"
BROF11,"8,26"
BRSE11,-
BTAG11,-
BTAL11,"11,47"
BTCI11,"12,28"
BTCR11,"1,02"
BTHI11,"22,96"
BTLG11,"8,70"
BTRA11,"13,90"
BTSG11,"7,71"
BTSI11,"8,88"
BTWR11,"6,08"
BVAR11,-
BZEL11,-
BZLI11,-
CACR11,"17,09"
CARE11,-
CBOP11,"4,65"
CCLB11,-
CCME11,"10,04"
CCRF11,"8,70"
CEOC11,"14,50"
CFHI11,"0,60"
CFII11,-
CIXR11,-
CJCT11,"1,90"
CJFI11,-
