Ticker,DY,Nome,Categoria
AAGR11,0.0,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO,Fiagro
AAZQ11,16.45,-,Fiagro
ABCP11,8.62,Grand Plaza Shopping,Tijolo
AFCR11,0.0,-,Outros
AFHI11,12.89,AF INVEST CRI,Papel
AFOF11,0.0,-,Outros
AGRX11,17.55,-,Fiagro
AIEC11,16.54,AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.,Tijolo
AJFI11,0.73,-,Outros
ALMI11,0.0,Torre Almirante,Tijolo
ALZC11,0.0,FII ALI CRED,Papel
ALZM11,11.93,ALIANZA FOF,Papel
ALZR11,8.34,Alianza Trust Renda Imobiliária,Fundo Misto
AMAZ11,0.0,BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO,Fiagro
ANCR11B,1.96,Ancar CI,Tijolo
APTO11,12.3,NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo
APXM11,2.55,-,Outros
APXR11,0.0,-,Outros
APXU11,0.0,-,Outros
AQLL11,0.0,-,Outros
ARCT11,16.59,RIZA ARCTIUM REAL ESTATE FDO INV IMOB,Tijolo
ARFI11B,0.0,-,Outros
AROA11,3.64,AROEIRA 333 RENDA LOGÍSTICA FDO DE INV IMOB,Tijolo
ARRI11,13.55,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,Papel
ARXD11,10.52,ARX DOVER RECEBÍVEIS FDO DE INV IMOB,Papel
ASMT11,1.25,CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo
ASRF11,2.54,ASA RETROFITS I FDO DE INV IMOB,Fundo Misto
ATCR11,0.0,HAZ,Tijolo
ATSA11,0.18,Hedge Atrium Shopping Santo André,Tijolo
ATSA11B,0.0,-,Outros
ATWN11,0.0,FDO. INV. IMOB. A–TOWN,Fundo Misto
AURB11,5.64,FII ALI URB,Tijolo
BARI11,11.14,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII,Papel
BBFI11B,14.59,BB Progressivo,Tijolo
BBFO11,10.98,BB FUNDO DE FUNDOS,Papel
BBGO11,13.53,-,Fiagro
BBIM11,0.0,BB Recebíveis Imobiliários,Papel
BBPO11,10.29,BB Progressivo II,Tijolo
BBRC11,11.37,BB Renda Corporativa,Tijolo
BBVJ11,0.0,-,Outros
BCFF11,9.22,BTG Fundo de Fundos,Papel
BCIA11,9.31,Bradesco Carteira Imobiliária Ativa,Papel
BCRI11,12.53,Banestes Recebíveis Imobiliários,Papel
BETW11,0.0,-,Outros
BICE11,12.66,BRIO CRÉDITO ESTRUTURADO,Papel
BICR11,11.44,INTER TÍTULOS IMOB. FDO INV. IMOB.,Papel
BIME11,13.45,BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB,Fundo Misto
BIPD11,1.05,FII BRIO IV,Fundo Misto
BIPE11,0.0,-,Outros
BLCA11,15.75,BLUEMACAW CATUAÍ TRIPLE A FDO DE INV IMOB,Fundo Misto
BLCP11,0.62,BLUECAP RENDA LOG. FDO INV. IMOB. - FII,Tijolo
BLMC11,10.83,BLUEMACAW CRÉDITO IMOBILIÁRIO,Papel
BLMG11,20.2,BLUEMACAW LOGÍSTICA,Tijolo
BLMO11,1077.02,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.,Tijolo
BLMR11,8.79,BLUEMACAW RENDA + FOF,Papel
BLOG11,0.0,-,Outros
BLUR11,13.02,FII BLUE REC,Papel
BMII11,0.0,Brasilio Machado,Tijolo
BMLC11,11.12,BM Brascan Lajes Corporativas,Tijolo
BMLC11B,0.0,-,Outros
BNFS11,14.19,Banrisul Novas Fronteiras,Tijolo
BPFF11,10.14,Brasil Plural Absoluto Fundo de Fundos,Papel
BPLC11,0.0,FII BASILICA,Fundo Misto
BPML11,1.2,FDO INV IMOB BTG PACTUAL SHOPPINGS,Tijolo
BPRP11,10.35,FDO INV IMOB - FII BRLPROP,Tijolo
BRCO11,8.15,BRESCO LOGÍSTICA - FDO INV IMOB,Tijolo
BRCR11,8.81,BTG Pactual Corporate Office,Tijolo
BREV11,4.99,BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB,Tijolo
BRHT11B,0.0,BR Hotéis,Tijolo
BRIM11,22.88,BRIO REAL ESTATE II - FDO INV IMOB,Fundo Misto
BRIP11,17.89,BRIO REAL ESTATE III,Fundo Misto
BRIX11,0.0,FII BRIX,Fundo Misto
BRLA11,9.35,FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II,Tijolo
BROF11,9.23,BRPR CORPORATE OFFICES FDO DE INV IMOB,Tijolo
BRSE11,0.0,BR7 SENADO FUNDO DE INVESTIMENTO IMOBILIÁRIO,Fundo Misto
BTAG11,0.0,-,Fiagro
BTAL11,11.72,BTG PACTUAL AGRO LOGÍSTICA,Tijolo
BTCI11,12.26,-,Papel
BTCR11,1.02,BTG Pactual Crédito Imobiliário,Papel
BTHI11,22.95,-,Outros
BTLG11,8.77,BTG PACTUAL LOGISTICA FDO INV IMOB - FII,Tijolo
BTRA11,14.57,FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS,Fundo Misto
BTSG11,7.71,BTSP I FDO. INVEST. IMOB,Tijolo
BTSI11,8.93,BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Fundo Misto
BTWR11,6.08,BTOWERS FII,Fundo Misto
BVAR11,14.21,Brasil Varejo,Tijolo
BZEL11,0.0,BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO,Fundo Misto
BZLI11,0.0,Brazil Realty,Fundo Misto
CACR11,16.8,CARTESIA FII,Papel
CARE11,0.0,Brazilian Graveyard and Death Care,Fundo Misto
CBOP11,4.72,Castello Branco Office Park,Tijolo
CCLB11,0.0,-,Outros
CCME11,10.04,FII CANUMA,Fundo Misto
CCRF11,8.16,CANVAS CRI,Papel
CENU11,0.0,-,Outros
CEOC11,14.11,Cyrela Commercial Properties,Tijolo
CFHI11,0.46,CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,Fundo Misto
CFII11,6.46,FII CF3 IMOB,Fundo Misto
CIXM11,0.0,-,Outros
CIXR11,0.0,CIX RENDIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO,Fundo Misto
CJCT11,2.03,CIDADE JARDIM CONTINENAL TOWER,Tijolo
CJFI11,0.0,FDO INV IMOB CJ,Fundo Misto
CLIN11,1.07,-,Outros
CNES11,3.95,CENESP,Tijolo
COPP11,0.73,CORPORATE OFFICE PROPERTIES FII - FDO DE INV IMOB,Tijolo
CORM11,0.0,-,Outros
CPFF11,8.71,CAPITÂNIA REIT FOF - FDO. INVEST. IMOB,Papel
CPFO11,0.0,CAPITÂNIA REIT FOF - FDO INV IMOB II,Papel
CPOF11,0.73,-,Outros
CPSH11,6.5,SHOPPINGS AAA FDO DE INV IMOB,Fundo Misto
CPTR11,16.41,-,Fiagro
CPTS11,10.46,Capitania Securities II,Papel
CRAA11,13.7,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO,Fiagro
CRFF11,9.26,CAIXA RIO BRAVO FDO DE FDOS INV IMOB II,Papel
CSMC11,0.0,COSMIC FDO DE INV IMOB,Fundo Misto
CTNP11,0.0,FII FED HY,Papel
CTXT11,0.0,Centro Têxtil Internacional,Tijolo
CVBI11,12.14,FDO INV. IMOB. VBI CRI,Papel
